ID	RiskType	Score	Cell
TCGA-V5-AASX-01A	Low	0.0	B cells memory
TCGA-IG-A6QS-01A	High	0.0	B cells memory
TCGA-L7-A56G-01A	Low	0.0	B cells memory
TCGA-LN-A4A9-01A	Low	0.0	B cells memory
TCGA-LN-A7HW-01A	Low	0.0	B cells memory
TCGA-LN-A7HY-01A	High	0.0	B cells memory
TCGA-IG-A97I-01A	High	0.0	B cells memory
TCGA-LN-A7HX-01A	High	0.0	B cells memory
TCGA-LN-A9FR-01A	Low	0.0	B cells memory
TCGA-LN-A49P-01A	High	0.0	B cells memory
TCGA-LN-A5U6-01A	Low	0.0	B cells memory
TCGA-VR-A8ER-01A	High	0.0	B cells memory
TCGA-LN-A4A1-01A	Low	0.0	B cells memory
TCGA-LN-A49X-01A	Low	0.0	B cells memory
TCGA-LN-A49M-01A	High	0.0	B cells memory
TCGA-R6-A8WG-01A	High	0.0	B cells memory
TCGA-LN-A9FQ-01A	Low	0.0	B cells memory
TCGA-LN-A7HZ-01A	High	0.0	B cells memory
TCGA-LN-A8I1-01A	Low	0.0	B cells memory
TCGA-L5-A8NL-01A	High	0.0	B cells memory
TCGA-LN-A49W-01A	High	0.0	B cells memory
TCGA-LN-A49O-01A	High	0.0	B cells memory
TCGA-L5-A8NS-01A	High	0.0	B cells memory
TCGA-2H-A9GI-01A	Low	0.0	B cells memory
TCGA-IG-A97H-01A	Low	0.0	B cells memory
TCGA-IG-A7DP-01A	Low	0.0	B cells memory
TCGA-LN-A49U-01A	Low	0.0	B cells memory
TCGA-V5-AASV-01A	Low	0.0	B cells memory
TCGA-L5-A88S-01A	High	0.0	B cells memory
TCGA-LN-A4A8-01A	Low	0.0	B cells memory
TCGA-IC-A6RF-01A	Low	0.0345495037934974	B cells memory
TCGA-R6-A8W5-01B	High	0.0	B cells memory
TCGA-VR-AA7I-01A	Low	0.0	B cells memory
TCGA-IG-A51D-01A	Low	0.0	B cells memory
TCGA-VR-AA4G-01A	High	0.0	B cells memory
TCGA-VR-A8EZ-01A	High	0.0	B cells memory
TCGA-VR-A8EU-01A	High	0.0	B cells memory
TCGA-IG-A4P3-01A	Low	0.0216537496385614	B cells memory
TCGA-S8-A6BV-01A	High	0.0	B cells memory
TCGA-IG-A3YC-01A	Low	0.0	B cells memory
TCGA-IG-A3YA-01A	Low	0.0	B cells memory
TCGA-L5-A8NQ-01A	Low	0.0	B cells memory
TCGA-JY-A939-01A	Low	0.0	B cells memory
TCGA-LN-A4A5-01A	Low	0.0	B cells memory
TCGA-VR-A8EQ-01A	High	0.0	B cells memory
TCGA-L5-A4OE-01A	High	0.0071223654152346	B cells memory
TCGA-JY-A93E-01A	High	0.0115050193260829	B cells memory
TCGA-LN-A5U7-01A	Low	0.0	B cells memory
TCGA-2H-A9GF-01A	High	0.0	B cells memory
TCGA-VR-A8EO-01A	Low	0.0	B cells memory
TCGA-L5-A8NT-01A	High	0.0	B cells memory
TCGA-VR-A8EX-01A	Low	0.0511858791342868	B cells memory
TCGA-L5-A4OU-01A	High	0.0	B cells memory
TCGA-JY-A93D-01A	Low	0.0	B cells memory
TCGA-2H-A9GR-01A	Low	0.0	B cells memory
TCGA-VR-A8EY-01A	Low	0.0	B cells memory
TCGA-JY-A938-01A	Low	0.0	B cells memory
TCGA-L5-A4OS-01A	Low	0.0	B cells memory
TCGA-VR-A8Q7-01A	Low	0.0	B cells memory
TCGA-L5-A8NV-01A	High	0.0150619295993321	B cells memory
TCGA-R6-A6Y0-01B	Low	0.0	B cells memory
TCGA-JY-A6FD-01A	Low	0.0	B cells memory
TCGA-L5-A8NU-01A	Low	0.0231229349005129	B cells memory
TCGA-LN-A9FO-01A	High	0.0096329911138203	Plasma cells
TCGA-IG-A50L-01A	High	0.0460970703564583	Plasma cells
TCGA-Z6-A8JE-01A	High	0.0637915626198238	Plasma cells
TCGA-IG-A3YB-01A	Low	0.0	Plasma cells
TCGA-Z6-AAPN-01A	High	0.0300360596762029	Plasma cells
TCGA-L5-A893-01A	Low	0.0497280402676574	Plasma cells
TCGA-L5-A43C-01A	Low	0.0408940334700037	Plasma cells
TCGA-L5-A4OO-01A	High	0.16427130286487	Plasma cells
TCGA-Z6-A8JD-01A	Low	0.0391300609825826	Plasma cells
TCGA-V5-A7RC-06A	High	0.0106450001539195	Plasma cells
TCGA-V5-A7RC-01B	High	0.0062496129670054	Plasma cells
TCGA-JY-A6FE-01A	Low	0.0874439883970746	Plasma cells
TCGA-LN-A5U5-01A	High	0.0380010604645092	Plasma cells
TCGA-IG-A8O2-01A	High	0.0	Plasma cells
TCGA-RE-A7BO-01A	High	0.0	Plasma cells
TCGA-2H-A9GK-01A	Low	0.210840493735323	Plasma cells
TCGA-L5-A8NM-01A	High	0.0485256919111819	Plasma cells
TCGA-R6-A6DN-01B	High	0.0	Plasma cells
TCGA-VR-A8EW-01A	High	0.0508998950377376	Plasma cells
TCGA-V5-AASX-01A	Low	0.0412266240164677	Plasma cells
TCGA-IG-A6QS-01A	High	0.0153614491071961	Plasma cells
TCGA-L7-A56G-01A	Low	0.0777978196781145	Plasma cells
TCGA-LN-A4A9-01A	Low	0.0	Plasma cells
TCGA-LN-A7HW-01A	Low	0.0114248282214284	Plasma cells
TCGA-LN-A7HY-01A	High	0.230903503606637	Plasma cells
TCGA-IG-A97I-01A	High	0.0	Plasma cells
TCGA-LN-A7HX-01A	High	0.0208530963321239	Plasma cells
TCGA-LN-A9FR-01A	Low	0.0	Plasma cells
TCGA-LN-A49P-01A	High	0.0085307073826421	Plasma cells
TCGA-LN-A5U6-01A	Low	0.0	Plasma cells
TCGA-VR-A8ER-01A	High	0.182884660473631	Plasma cells
TCGA-LN-A4A1-01A	Low	0.0023870925618188	Plasma cells
TCGA-LN-A49X-01A	Low	0.0	Plasma cells
TCGA-LN-A49M-01A	High	0.0	Plasma cells
TCGA-R6-A8WG-01A	High	0.0642476741678087	Plasma cells
TCGA-LN-A9FQ-01A	Low	0.0	Plasma cells
TCGA-LN-A7HZ-01A	High	0.0336037331256644	Plasma cells
TCGA-LN-A8I1-01A	Low	0.0278750927769622	Plasma cells
TCGA-L5-A8NL-01A	High	0.0	Plasma cells
TCGA-LN-A49W-01A	High	0.0743809968214252	Plasma cells
TCGA-LN-A49O-01A	High	0.0207699382810943	Plasma cells
TCGA-L5-A8NS-01A	High	0.0088722470605963	Plasma cells
TCGA-2H-A9GI-01A	Low	0.40405993893618	Plasma cells
TCGA-IG-A97H-01A	Low	0.003893639459171	Plasma cells
TCGA-IG-A7DP-01A	Low	0.084201980706944	Plasma cells
TCGA-LN-A49U-01A	Low	0.0820108321286419	Plasma cells
TCGA-V5-AASV-01A	Low	0.083808589962829	Plasma cells
TCGA-L5-A88S-01A	High	0.0168349554993177	Plasma cells
TCGA-LN-A4A8-01A	Low	0.0379548831076003	Plasma cells
TCGA-IC-A6RF-01A	Low	0.0688078606968364	Plasma cells
TCGA-R6-A8W5-01B	High	0.137657343364675	Plasma cells
TCGA-VR-AA7I-01A	Low	0.0	Plasma cells
TCGA-IG-A51D-01A	Low	0.0697671507847241	Plasma cells
TCGA-VR-AA4G-01A	High	0.0327199943129918	Plasma cells
TCGA-VR-A8EZ-01A	High	0.0774792244014372	Plasma cells
TCGA-VR-A8EU-01A	High	0.0206026503357768	Plasma cells
TCGA-IG-A4P3-01A	Low	0.0420680620034395	Plasma cells
TCGA-S8-A6BV-01A	High	0.0030556672384765	Plasma cells
TCGA-IG-A3YC-01A	Low	0.0061955688343921	Plasma cells
TCGA-IG-A3YA-01A	Low	0.0	Plasma cells
TCGA-L5-A8NQ-01A	Low	0.0005762649087645	Plasma cells
TCGA-JY-A939-01A	Low	0.0904892711303202	Plasma cells
TCGA-LN-A4A5-01A	Low	0.0	Plasma cells
TCGA-VR-A8EQ-01A	High	0.0	Plasma cells
TCGA-L5-A4OE-01A	High	0.0	Plasma cells
TCGA-JY-A93E-01A	High	0.0682782817295509	Plasma cells
TCGA-LN-A5U7-01A	Low	0.0310479324441034	Plasma cells
TCGA-2H-A9GF-01A	High	0.0021832371569362	Plasma cells
TCGA-VR-A8EO-01A	Low	0.0099083127977093	Plasma cells
TCGA-L5-A8NT-01A	High	0.016509721164155	Plasma cells
TCGA-VR-A8EX-01A	Low	0.116904396738422	Plasma cells
TCGA-L5-A4OU-01A	High	0.0290213623902247	Plasma cells
TCGA-JY-A93D-01A	Low	0.0516229925440504	Plasma cells
TCGA-2H-A9GR-01A	Low	0.205579988504548	Plasma cells
TCGA-VR-A8EY-01A	Low	0.0649777511420256	Plasma cells
TCGA-JY-A938-01A	Low	0.18176853953857	Plasma cells
TCGA-L5-A4OS-01A	Low	0.129079254849115	Plasma cells
TCGA-VR-A8Q7-01A	Low	0.0298685376438272	Plasma cells
TCGA-L5-A8NV-01A	High	0.0809614340997628	Plasma cells
TCGA-R6-A6Y0-01B	Low	0.0120592593861521	Plasma cells
TCGA-JY-A6FD-01A	Low	0.0592978451891335	Plasma cells
TCGA-L5-A8NU-01A	Low	0.293620226479944	Plasma cells
TCGA-LN-A9FO-01A	High	0.275764335266324	T cells CD8
TCGA-IG-A50L-01A	High	0.0245720010902801	T cells CD8
TCGA-Z6-A8JE-01A	High	0.0241440524263186	T cells CD8
TCGA-IG-A3YB-01A	Low	0.201934947320584	T cells CD8
TCGA-Z6-AAPN-01A	High	0.140550008364256	T cells CD8
TCGA-L5-A893-01A	Low	0.100344169874549	T cells CD8
TCGA-L5-A43C-01A	Low	0.0069723509692348	T cells CD8
TCGA-L5-A4OO-01A	High	0.123448241527674	T cells CD8
TCGA-Z6-A8JD-01A	Low	0.0246583797891335	T cells CD8
TCGA-V5-A7RC-06A	High	0.0972630573499136	T cells CD8
TCGA-V5-A7RC-01B	High	0.0	T cells CD8
TCGA-JY-A6FE-01A	Low	0.077713272860065	T cells CD8
TCGA-LN-A5U5-01A	High	0.0301861066042371	T cells CD8
TCGA-IG-A8O2-01A	High	0.355349640601505	T cells CD8
TCGA-RE-A7BO-01A	High	0.0	T cells CD8
TCGA-2H-A9GK-01A	Low	0.0144681211200842	T cells CD8
TCGA-L5-A8NM-01A	High	0.168687759249186	T cells CD8
TCGA-R6-A6DN-01B	High	0.0	T cells CD8
TCGA-VR-A8EW-01A	High	0.015882417073916	T cells CD8
TCGA-V5-AASX-01A	Low	0.199952518671984	T cells CD8
TCGA-IG-A6QS-01A	High	0.115398941415237	T cells CD8
TCGA-L7-A56G-01A	Low	0.0	T cells CD8
TCGA-LN-A4A9-01A	Low	0.0771109220296096	T cells CD8
TCGA-LN-A7HW-01A	Low	0.0	T cells CD8
TCGA-LN-A7HY-01A	High	0.0	T cells CD8
TCGA-IG-A97I-01A	High	0.0010202774213397	T cells CD8
TCGA-LN-A7HX-01A	High	0.0364936560410043	T cells CD8
TCGA-LN-A9FR-01A	Low	0.0294763910184416	T cells CD8
TCGA-LN-A49P-01A	High	0.105463882370583	T cells CD8
TCGA-LN-A5U6-01A	Low	0.0327756877042199	T cells CD8
TCGA-VR-A8ER-01A	High	0.0135570612073791	T cells CD8
TCGA-LN-A4A1-01A	Low	0.0	T cells CD8
TCGA-LN-A49X-01A	Low	0.0504023597057769	T cells CD8
TCGA-LN-A49M-01A	High	0.0	T cells CD8
TCGA-R6-A8WG-01A	High	0.0230122848570193	T cells CD8
TCGA-LN-A9FQ-01A	Low	0.0097483736396817	T cells CD8
TCGA-LN-A7HZ-01A	High	0.328095615293847	T cells CD8
TCGA-LN-A8I1-01A	Low	0.279965318404163	T cells CD8
TCGA-L5-A8NL-01A	High	0.0022991439361399	T cells CD8
TCGA-LN-A49W-01A	High	0.0342707432971828	T cells CD8
TCGA-LN-A49O-01A	High	0.0291610284692942	T cells CD8
TCGA-L5-A8NS-01A	High	0.0713613199627014	T cells CD8
TCGA-2H-A9GI-01A	Low	0.0156888349944266	T cells CD8
TCGA-IG-A97H-01A	Low	0.0082896783439116	T cells CD8
TCGA-IG-A7DP-01A	Low	0.282568551134042	T cells CD8
TCGA-LN-A49U-01A	Low	0.0139057687301907	T cells CD8
TCGA-V5-AASV-01A	Low	0.0562639159784309	T cells CD8
TCGA-L5-A88S-01A	High	0.0195189590008836	T cells CD8
TCGA-LN-A4A8-01A	Low	0.0574507378859149	T cells CD8
TCGA-IC-A6RF-01A	Low	0.0335900943570488	T cells CD8
TCGA-R6-A8W5-01B	High	0.0267067807875162	T cells CD8
TCGA-VR-AA7I-01A	Low	0.229270794978118	T cells CD8
TCGA-IG-A51D-01A	Low	0.0525167055253048	T cells CD8
TCGA-VR-AA4G-01A	High	0.052363267770114	T cells CD8
TCGA-VR-A8EZ-01A	High	0.122079921278042	T cells CD8
TCGA-VR-A8EU-01A	High	0.0	T cells CD8
TCGA-IG-A4P3-01A	Low	0.249797031463408	T cells CD8
TCGA-S8-A6BV-01A	High	0.0	T cells CD8
TCGA-IG-A3YC-01A	Low	0.182596045715732	T cells CD8
TCGA-IG-A3YA-01A	Low	0.0256169803217461	T cells CD8
TCGA-L5-A8NQ-01A	Low	0.0636808832423618	T cells CD8
TCGA-JY-A939-01A	Low	0.134103886635431	T cells CD8
TCGA-LN-A4A5-01A	Low	0.0318760227859686	T cells CD8
TCGA-VR-A8EQ-01A	High	0.0421973750755141	T cells CD8
TCGA-L5-A4OE-01A	High	0.277012265803359	T cells CD8
TCGA-JY-A93E-01A	High	0.0852987667066317	T cells CD8
TCGA-LN-A5U7-01A	Low	0.0380174823161843	T cells CD8
TCGA-2H-A9GF-01A	High	0.0	T cells CD8
TCGA-VR-A8EO-01A	Low	0.0405443693882817	T cells CD8
TCGA-L5-A8NT-01A	High	0.0302921050320032	T cells CD8
TCGA-VR-A8EX-01A	Low	0.0947986089404909	T cells CD8
TCGA-L5-A4OU-01A	High	0.119304949105185	T cells CD8
TCGA-JY-A93D-01A	Low	0.0266876693666319	T cells CD8
TCGA-2H-A9GR-01A	Low	0.0617269842223006	T cells CD8
TCGA-VR-A8EY-01A	Low	0.0341232814375935	T cells CD8
TCGA-JY-A938-01A	Low	0.142951935454777	T cells CD8
TCGA-L5-A4OS-01A	Low	0.0	T cells CD8
TCGA-VR-A8Q7-01A	Low	0.17839723275283	T cells CD8
TCGA-L5-A8NV-01A	High	0.0844421013006986	T cells CD8
TCGA-R6-A6Y0-01B	Low	0.0058281356526977	T cells CD8
TCGA-JY-A6FD-01A	Low	0.137218918015094	T cells CD8
TCGA-L5-A8NU-01A	Low	0.0590762256066071	T cells CD8
TCGA-LN-A9FO-01A	High	0.0	T cells CD4 naive
TCGA-IG-A50L-01A	High	0.0	T cells CD4 naive
TCGA-Z6-A8JE-01A	High	0.0	T cells CD4 naive
TCGA-IG-A3YB-01A	Low	0.0	T cells CD4 naive
TCGA-Z6-AAPN-01A	High	0.0	T cells CD4 naive
TCGA-L5-A893-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A43C-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A4OO-01A	High	0.0	T cells CD4 naive
TCGA-Z6-A8JD-01A	Low	0.0	T cells CD4 naive
TCGA-V5-A7RC-06A	High	0.0	T cells CD4 naive
TCGA-V5-A7RC-01B	High	0.0	T cells CD4 naive
TCGA-JY-A6FE-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A5U5-01A	High	0.0	T cells CD4 naive
TCGA-IG-A8O2-01A	High	0.0	T cells CD4 naive
TCGA-RE-A7BO-01A	High	0.0	T cells CD4 naive
TCGA-2H-A9GK-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A8NM-01A	High	0.0	T cells CD4 naive
TCGA-R6-A6DN-01B	High	0.0	T cells CD4 naive
TCGA-VR-A8EW-01A	High	0.0	T cells CD4 naive
TCGA-V5-AASX-01A	Low	0.0	T cells CD4 naive
TCGA-IG-A6QS-01A	High	0.0	T cells CD4 naive
TCGA-L7-A56G-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A4A9-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A7HW-01A	Low	0.0716879102418244	T cells CD4 naive
TCGA-LN-A7HY-01A	High	0.0	T cells CD4 naive
TCGA-IG-A97I-01A	High	0.0	T cells CD4 naive
TCGA-LN-A7HX-01A	High	0.0	T cells CD4 naive
TCGA-LN-A9FR-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A49P-01A	High	0.0	T cells CD4 naive
TCGA-LN-A5U6-01A	Low	0.0	T cells CD4 naive
TCGA-VR-A8ER-01A	High	0.0	T cells CD4 naive
TCGA-LN-A4A1-01A	Low	0.0200819390230503	T cells CD4 naive
TCGA-LN-A49X-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A49M-01A	High	0.0322766903827194	T cells CD4 naive
TCGA-R6-A8WG-01A	High	0.0	T cells CD4 naive
TCGA-LN-A9FQ-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A7HZ-01A	High	0.0	T cells CD4 naive
TCGA-LN-A8I1-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A8NL-01A	High	0.0	T cells CD4 naive
TCGA-LN-A49W-01A	High	0.0	T cells CD4 naive
TCGA-LN-A49O-01A	High	0.0	T cells CD4 naive
TCGA-L5-A8NS-01A	High	0.0	T cells CD4 naive
TCGA-2H-A9GI-01A	Low	0.0	T cells CD4 naive
TCGA-IG-A97H-01A	Low	0.0	T cells CD4 naive
TCGA-IG-A7DP-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A49U-01A	Low	0.0	T cells CD4 naive
TCGA-V5-AASV-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A88S-01A	High	0.0	T cells CD4 naive
TCGA-LN-A4A8-01A	Low	0.0	T cells CD4 naive
TCGA-IC-A6RF-01A	Low	0.0	T cells CD4 naive
TCGA-R6-A8W5-01B	High	0.0	T cells CD4 naive
TCGA-VR-AA7I-01A	Low	0.0	T cells CD4 naive
TCGA-IG-A51D-01A	Low	0.0	T cells CD4 naive
TCGA-VR-AA4G-01A	High	0.0	T cells CD4 naive
TCGA-VR-A8EZ-01A	High	0.0	T cells CD4 naive
TCGA-VR-A8EU-01A	High	0.0	T cells CD4 naive
TCGA-IG-A4P3-01A	Low	0.0	T cells CD4 naive
TCGA-S8-A6BV-01A	High	0.0	T cells CD4 naive
TCGA-IG-A3YC-01A	Low	0.0	T cells CD4 naive
TCGA-IG-A3YA-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A8NQ-01A	Low	0.0	T cells CD4 naive
TCGA-JY-A939-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A4A5-01A	Low	0.0	T cells CD4 naive
TCGA-VR-A8EQ-01A	High	0.0	T cells CD4 naive
TCGA-L5-A4OE-01A	High	0.0	T cells CD4 naive
TCGA-JY-A93E-01A	High	0.0	T cells CD4 naive
TCGA-LN-A5U7-01A	Low	0.0	T cells CD4 naive
TCGA-2H-A9GF-01A	High	0.0	T cells CD4 naive
TCGA-VR-A8EO-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A8NT-01A	High	0.0	T cells CD4 naive
TCGA-VR-A8EX-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A4OU-01A	High	0.0	T cells CD4 naive
TCGA-JY-A93D-01A	Low	0.0	T cells CD4 naive
TCGA-2H-A9GR-01A	Low	0.0	T cells CD4 naive
TCGA-VR-A8EY-01A	Low	0.0	T cells CD4 naive
TCGA-JY-A938-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A4OS-01A	Low	0.0	T cells CD4 naive
TCGA-VR-A8Q7-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A8NV-01A	High	0.0	T cells CD4 naive
TCGA-R6-A6Y0-01B	Low	0.0	T cells CD4 naive
TCGA-JY-A6FD-01A	Low	0.0	T cells CD4 naive
TCGA-L5-A8NU-01A	Low	0.0	T cells CD4 naive
TCGA-LN-A9FO-01A	High	0.0	T cells CD4 memory resting
TCGA-IG-A50L-01A	High	0.190320985217792	T cells CD4 memory resting
TCGA-Z6-A8JE-01A	High	0.112351310450259	T cells CD4 memory resting
TCGA-IG-A3YB-01A	Low	0.0	T cells CD4 memory resting
TCGA-Z6-AAPN-01A	High	0.0749844065587107	T cells CD4 memory resting
TCGA-L5-A893-01A	Low	0.161950315307266	T cells CD4 memory resting
TCGA-L5-A43C-01A	Low	0.150465477480336	T cells CD4 memory resting
TCGA-L5-A4OO-01A	High	0.22835468144317	T cells CD4 memory resting
TCGA-Z6-A8JD-01A	Low	0.271874041892871	T cells CD4 memory resting
TCGA-V5-A7RC-06A	High	0.243666394672713	T cells CD4 memory resting
TCGA-V5-A7RC-01B	High	0.421446288793672	T cells CD4 memory resting
TCGA-JY-A6FE-01A	Low	0.055716911540487	T cells CD4 memory resting
TCGA-LN-A5U5-01A	High	0.0976548539324806	T cells CD4 memory resting
TCGA-IG-A8O2-01A	High	0.0	T cells CD4 memory resting
TCGA-RE-A7BO-01A	High	0.129669137364932	T cells CD4 memory resting
TCGA-2H-A9GK-01A	Low	0.245207758082684	T cells CD4 memory resting
TCGA-L5-A8NM-01A	High	0.121959639296661	T cells CD4 memory resting
