ID	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Eosinophil	Gamma delta T cell	Immature  B cell	Immature dendritic cell	Macrophage	Mast cell	Memory B cell	Monocyte	Myeloid derived suppressor cell	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell
TCGA-HD-7831-01A	-0.251836772409751	0.109992549763868	0.135827816832194	0.254514430273752	0.308585051730685	0.331472887134768	0.554070100251528	0.4024567895256	0.172773571992494	0.192929268400737	-0.157208476458549	0.351934679231136	-0.0862050722828649	0.354864672761965	0.0619267730743431	0.0792946471987766	0.132324454725398	0.357799784825027	0.354338390351923	0.310334729781204	0.146292515169377	-0.145829687872941	0.378102730976125	0.268009728717537	0.15215574124328	0.138927643080711	-0.0424109850137437	0.104893331878301
TCGA-H7-7774-01A	-0.148947019490569	0.251314224063893	0.310923859338061	0.272172299026691	0.266691566570079	0.351584047586629	0.501864370964674	0.354976374703154	0.171682111313872	0.243290192732131	-0.136375664906471	0.349349739476361	0.00125199612846989	0.356213710267748	0.00214296147517196	0.0351318647218441	0.0835865789383045	0.349541636433407	0.32021344860578	0.187074764517859	0.0730335140517882	0.108001593720064	0.372397030690891	0.13792239823337	0.217239912565728	0.125773783650891	-0.0273060731661438	0.176916470815175
TCGA-CN-5374-01A	0.0857975515897694	0.365908478578158	0.473864346986041	0.275646377506822	0.314511684813384	0.335039238961845	0.531645549538101	0.31454738218978	0.112513287399381	0.259082804418677	-0.160266711655884	0.27453344868552	0.0813125318303989	0.381688847993176	0.0273880670322159	-0.0606612371975935	0.133595369752615	0.363817022034185	0.39365255343063	0.317318821804024	0.120911829657043	-0.1867084892486	0.334357546269227	0.123957491823388	0.163291606180803	0.178373019208775	0.00656332695385732	0.146189920640351
TCGA-CR-5249-01A	0.236442509406587	0.384002478335666	0.42744097076853	0.316775533602477	0.306027749800676	0.366020937471942	0.541783819521875	0.371915134978818	0.178480244186814	0.291328412781312	-0.0817997836695508	0.303485237407469	0.243099028883273	0.404371880715421	0.0324590178865213	0.0329747087179685	0.168716960288537	0.40541066273128	0.415588644183637	0.324039162224096	0.12333799891606	-0.136429518867015	0.391496410811318	0.194172162911998	0.197212633187126	0.201893721804117	0.0189692558414398	0.201030671845991
TCGA-CN-5373-01A	-0.113855968131347	0.272572900067493	0.289418872127241	0.282263684624913	0.284789124256159	0.37659753918157	0.556833707805264	0.420254613341602	0.190178384422981	0.311580380587121	-0.0939870033972154	0.378230664754995	0.0678669926315391	0.377334989453072	0.0417491186824644	0.0760956908838272	0.106121458586749	0.355741052229784	0.435631902728501	0.332236604333576	0.135879580850066	0.145722262433722	0.406551404146706	0.317722437083963	0.261167048142301	0.1964627781146	0.0349989477904547	0.181243892575271
TCGA-QK-A8ZB-01A	-0.133007416096733	0.170397905659345	0.143528651100826	0.235419194731629	0.311175702818895	0.368877258040435	0.526678800019263	0.356970653971289	0.163743758439445	0.181868729282138	-0.080865032647033	0.340384545164826	-0.0350032740613654	0.372336753230772	-0.0157455164441693	0.0725269113191815	0.0668372904223879	0.307311015286382	0.260984433895479	0.261618463032674	0.0899711480310973	0.0713821941840209	0.438238126809271	0.128134733291608	0.151051229106388	0.132644305577936	-0.0340980325068226	0.151997306851294
TCGA-CR-5250-01A	0.0245108673030213	0.32634968581893	0.303283297069899	0.247626694936188	0.329072037713938	0.384658824283444	0.533364488335129	0.307906921951609	0.157090032550546	0.211190612332505	-0.113545974793428	0.227490041976544	0.0387113055374777	0.377584408528847	0.00249302480088669	0.0534923084225566	0.107557647757416	0.368639814073886	0.335065791834242	0.337819777422235	0.134324230703848	-0.223046975310642	0.407684603116009	0.136282890350147	0.123595200022748	0.202593389529674	0.0467251442244078	0.161619560867781
TCGA-T3-A92M-01A	-0.117675420286335	0.294754794392673	0.352666655833823	0.271257179243518	0.310192890658814	0.329104642114682	0.575512694887339	0.363190283888858	0.121586196345727	0.229044890982002	-0.180194875137958	0.330017791241532	0.0148206130274669	0.366129670630852	0.0545177101263602	-0.0468952741648634	0.0812211339084756	0.343548228043667	0.398557902831169	0.296216533784764	0.141097235476466	-0.139993592744448	0.380965254065347	0.245568855465227	0.160495638938754	0.163611296645484	-0.0309461482777746	0.144466156677706
TCGA-CV-7429-01A	-0.292667027094797	0.253869466746691	0.277515461130677	0.258039963782346	0.322548346076528	0.323854259487446	0.540470400962673	0.40554015088806	0.194454354333184	0.189538155507703	-0.123442450946061	0.314629342389943	-0.0599586625728138	0.381069366841486	0.0752583694250947	-0.0252404984190102	0.0707546057961627	0.348440953048213	0.358202223074	0.280675291962538	0.153500721853436	-0.17385977753622	0.384874657514124	0.230947962895219	0.148892721541119	0.119879112901777	-0.0411360566576318	0.110165126061957
TCGA-QK-A652-01A	-0.134101038173727	0.199499450915177	0.310073554822308	0.251304421704016	0.324392368998989	0.35704695657697	0.549213756743017	0.347537065995589	0.205888515151781	0.249500581312989	-0.142166817990586	0.352966852303	-0.00423588409619526	0.361552241930455	0.0288702120636564	8.50314025403115e-06	0.0715529123175847	0.330434239262189	0.355931770579884	0.298112884684282	0.101147268455696	0.130269502753142	0.408582021725451	0.201342420617439	0.205115382513066	0.142616927995495	-0.00175780028640028	0.13821307895929
